"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Yu F.; Patel T.; Carnegie A.; Dave G.","Yu, Fei (57210796613); Patel, Tanha (56963418500); Carnegie, Andrea (56011358700); Dave, Gaurav (57001096400)","57210796613; 56963418500; 56011358700; 57001096400","Evaluating the impact of a CTSA program from 2008 to 2021 through bibliometrics, social network analysis, and altmetrics","2023","Journal of Clinical and Translational Science","7","1","e44","","","","4","10.1017/cts.2022.530","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146274123&doi=10.1017%2fcts.2022.530&partnerID=40&md5=79d8a916e7112f73566dafd066d7ad81","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146274123"
"Amiri M.R.; Saberi M.K.; Ouchi A.; Mokhtari H.; Barkhan S.","Amiri, Mohammad Reza (57205120296); Saberi, Mohammad Karim (36350096800); Ouchi, Ali (57211542102); Mokhtari, Heidar (35192014600); Barkhan, Sana (57208908033)","57205120296; 36350096800; 57211542102; 35192014600; 57208908033","Publication Performance and Trends in Altmetrics: A Bibliometric Analysis and Visualization","2023","International Journal of Information Science and Management","21","1","","95","115","20","2","10.22034/ijism.2022.1977686.0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146723727&doi=10.22034%2fijism.2022.1977686.0&partnerID=40&md5=a314269e39f0801f70f074d2070126a1","Article","Final","","Scopus","2-s2.0-85146723727"
"Yu H.; Wang Y.; Hussain S.; Song H.","Yu, Houqiang (55261022300); Wang, Yue (57226787987); Hussain, Shah (57223107055); Song, Haoyang (57195328394)","55261022300; 57226787987; 57223107055; 57195328394","Towards a better understanding of Facebook Altmetrics in LIS field: assessing the characteristics of involved paper, user and post","2023","Scientometrics","128","5","","3147","3170","23","4","10.1007/s11192-023-04678-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151349827&doi=10.1007%2fs11192-023-04678-6&partnerID=40&md5=fa85b1f927e7df7d59e2c6996cd17c02","Article","Final","","Scopus","2-s2.0-85151349827"
"Panahi S.; Soleimanpour S.","Panahi, Sirous (55749734900); Soleimanpour, Samira (57299596100)","55749734900; 57299596100","The landscape of the characteristics, citations, scientific, technological, and altmetrics impacts of retracted papers in hematology","2023","Accountability in Research","30","7","","363","378","15","5","10.1080/08989621.2021.1990049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117265410&doi=10.1080%2f08989621.2021.1990049&partnerID=40&md5=0a8d12ca618de8192494d91d39f254ec","Article","Final","","Scopus","2-s2.0-85117265410"
"Das A.; Saha A.","Das, Arijit (57222654752); Saha, Annesha (58698714300)","57222654752; 58698714300","Microfinance Research in India During 2001–2021: A Bibliometric Analysis with Its Social Impact Using Altmetrics","2023","Vision","","","","","","","0","10.1177/09722629231191308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176917453&doi=10.1177%2f09722629231191308&partnerID=40&md5=8e872bc99ffb2ab1039859f0a13f5c9c","Article","Article in press","All Open Access; Bronze Open Access","Scopus","2-s2.0-85176917453"
"","","","Review of Altmetrics Data Usability Research in the Context of Open Science; [开放科学语境下 Altmetrics 数据可用性研究评述]","2023","Information studies: Theory and Application","46","11","","182","188","6","0","10.16353/j.cnki.1000-7490.2023.11.023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204598261&doi=10.16353%2fj.cnki.1000-7490.2023.11.023&partnerID=40&md5=b81b369fbb120b694644081f8ce4130e","Article","Final","","Scopus","2-s2.0-85204598261"
"","","","Correction to: Author-level Altmetrics? (British Dental Journal, (2022), 233, 3, (169), 10.1038/s41415-022-4558-2)","2022","British Dental Journal","233","4","","246","","","0","10.1038/s41415-022-4933-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136619192&doi=10.1038%2fs41415-022-4933-z&partnerID=40&md5=3754f06a872f030621f694b606f9a86f","Erratum","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85136619192"
"Wani J.A.; Rehman I.U.; Ganaie S.A.; Maqbool A.","Wani, Javaid Ahmad (57211168037); Rehman, Ikhlaq Ur (57208900045); Ganaie, Shabir Ahmad (55745889700); Maqbool, Aasia (59397293500)","57211168037; 57208900045; 55745889700; 59397293500","Measuring the global scientific literature on big data analytics in the LIS: the blending approach of altmetrics and bibliometrics","2024","Information Discovery and Delivery","","","","","","","0","10.1108/IDD-01-2024-0001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208279798&doi=10.1108%2fIDD-01-2024-0001&partnerID=40&md5=c161dd5c9e5c9ab335c21d437b451764","Article","Article in press","","Scopus","2-s2.0-85208279798"
"Maddi A.; Sapinho D.","Maddi, Abdelghani (57210179718); Sapinho, David (57226237275)","57210179718; 57226237275","Article processing charges, altmetrics and citation impact: Is there an economic rationale?","2022","Scientometrics","127","12","","7351","7368","17","19","10.1007/s11192-022-04284-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124330887&doi=10.1007%2fs11192-022-04284-y&partnerID=40&md5=5329383fbdcce632cf97da6546ca5907","Article","Final","","Scopus","2-s2.0-85124330887"
"Bray N.J.; Major C.H.","Bray, Nathaniel J. (17344994000); Major, Claire H. (12805853000)","17344994000; 12805853000","Impact Factors, Altmetrics, and Prestige, Oh My: The Relationship Between Perceived Prestige and Objective Measures of Journal Quality","2022","Innovative Higher Education","47","6","","947","966","19","4","10.1007/s10755-022-09635-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142198813&doi=10.1007%2fs10755-022-09635-4&partnerID=40&md5=d83cd887b07cdd29e72f26c283d52b8f","Article","Final","","Scopus","2-s2.0-85142198813"
"McEvoy N.L.; Latour J.M.","McEvoy, Natalie L. (57216423366); Latour, Jos M. (57218590755)","57216423366; 57218590755","From impact factors to Altmetrics: What numbers are important in publishing your paper?","2023","Nursing in Critical Care","28","S1","","4","6","2","1","10.1111/nicc.12925","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161410427&doi=10.1111%2fnicc.12925&partnerID=40&md5=9aa7390a18f41419e37ec80359576b57","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85161410427"
"Ran N.","Ran, Na (57515519200)","57515519200","Association Between Immediacy of Citations and Altmetrics in COVID-19 Research by Artificial Neural Networks","2023","Disaster Medicine and Public Health Preparedness","17","1","e36","","","","5","10.1017/dmp.2021.277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147234636&doi=10.1017%2fdmp.2021.277&partnerID=40&md5=80f32fbd5d8ab2d44c8ec4a0f7c0f60a","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85147234636"
"Al-Ryalat N.; Malkawi L.; Alryalat S.A.","Al-Ryalat, Nosaiba (24528136700); Malkawi, Lna (57191918661); Alryalat, Saif Aldeen (57191917985)","24528136700; 57191918661; 57191917985","Dedicated COVID-19 Resource Center in Radiology Journals: Its Citation Metrics and Altmetrics Impact","2022","Current Medical Imaging","18","7","","749","756","7","3","10.2174/1573405617666210924162011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131337663&doi=10.2174%2f1573405617666210924162011&partnerID=40&md5=a8acf5d574edf88bac0255d7416d2ac9","Article","Final","","Scopus","2-s2.0-85131337663"
"Wang X.","Wang, Xu (57209608900)","57209608900","Characteristics analysis and evaluation of discourse leading for academic journals: perspectives from multiple integration of altmetrics indicators and evaluation methods","2024","Library Hi Tech","42","4","","1057","1079","22","14","10.1108/LHT-04-2022-0195","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140227684&doi=10.1108%2fLHT-04-2022-0195&partnerID=40&md5=25c757a2cfef071677c66bec845395ca","Article","Final","","Scopus","2-s2.0-85140227684"
"Maleki A.; Holmberg K.","Maleki, Ashraf (56100117200); Holmberg, Kim (25632561700)","56100117200; 25632561700","Tweeting and retweeting scientific articles: implications for altmetrics","2024","Scientometrics","129","10","","6197","6220","23","1","10.1007/s11192-024-05127-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201982147&doi=10.1007%2fs11192-024-05127-8&partnerID=40&md5=205e567f7cc2965910f9099c18185eee","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85201982147"
"Bray N.J.; D’Entremont A.; Braxton J.M.","Bray, Nathaniel J. (17344994000); D’Entremont, Andrew (58569197700); Braxton, John M. (7003343083)","17344994000; 58569197700; 7003343083","The Value of Articles Published in Journals Focused on the Scholarship of Teaching and Learning: A Use of Citations and Altmetrics as Indicators of Value","2023","Innovative Higher Education","48","6","","1055","1070","15","2","10.1007/s10755-023-09671-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170394251&doi=10.1007%2fs10755-023-09671-8&partnerID=40&md5=5edbaeb57af10e12b2cec9bbdd5f8d4d","Article","Final","","Scopus","2-s2.0-85170394251"
"Breuer T.; Schaer P.; Tunger D.","Breuer, Timo (57210368795); Schaer, Philipp (35758004800); Tunger, Dirk (12140216500)","57210368795; 35758004800; 12140216500","Relevance assessments, bibliometrics, and altmetrics: a quantitative study on PubMed and arXiv","2022","Scientometrics","127","5","","2455","2478","23","7","10.1007/s11192-022-04319-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129564448&doi=10.1007%2fs11192-022-04319-4&partnerID=40&md5=26fdca7293e99b24c1824eeb2cb560ee","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85129564448"
"Thelwall M.","Thelwall, Mike (57527841900)","57527841900","MEASURING SOCIETAL IMPACTS OF RESEARCH WITH ALTMETRICS? COMMON PROBLEMS AND MISTAKES","2021","Journal of Economic Surveys","35","5","","1302","1314","12","47","10.1111/joes.12381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087351707&doi=10.1111%2fjoes.12381&partnerID=40&md5=19c9c665e5d874bbff8cb65aafe981d5","Conference paper","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85087351707"
"Grant M.C.; Scott-Bridge K.R.; Wade R.G.","Grant, Michael C (57217293622); Scott-Bridge, Kai R (57220089694); Wade, Ryckie G (56214334900)","57217293622; 57220089694; 56214334900","The role of social media in disseminating plastic surgery research: The relationship between citations, altmetrics and article characteristics","2021","Journal of Plastic, Reconstructive and Aesthetic Surgery","74","5","","1101","1160","59","5","10.1016/j.bjps.2020.10.103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096874130&doi=10.1016%2fj.bjps.2020.10.103&partnerID=40&md5=5bb4df64909a706167c409535b957d0a","Letter","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85096874130"
"Laccourreye O.","Laccourreye, O. (56249723200)","56249723200","Altmetrics: What exactly is that?; [Les « Altmetrics », quèsaco ?]","2021","Annales Francaises d'Oto-Rhino-Laryngologie et de Pathologie Cervico-Faciale","138","2","","67","","","0","10.1016/j.aforl.2020.04.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086413990&doi=10.1016%2fj.aforl.2020.04.014&partnerID=40&md5=df9d16481ffd8cabc45c38583c0593d3","Editorial","Final","","Scopus","2-s2.0-85086413990"
"Lin Y.-C.; Liu C.; Chiu W.-H.","Lin, Yuan-Cheng (57302385600); Liu, Chieh (57301904900); Chiu, Wen-Hao (57302224800)","57302385600; 57301904900; 57302224800","Using natural language processing methods to improve the applicability of altmetrics in academic evaluation","2021","2021 IEEE International Conference on Social Sciences and Intelligent Management, SSIM 2021","","","","","","","1","10.1109/SSIM49526.2021.9555189","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117437390&doi=10.1109%2fSSIM49526.2021.9555189&partnerID=40&md5=43439253fb6e5bd37fc8f065f2995635","Conference paper","Final","","Scopus","2-s2.0-85117437390"
"Krauskopf E.","Krauskopf, Erwin (17434747000)","17434747000","Are we at a turning point in journal assessment? An introduction to altmetrics","2020","Austral Journal of Veterinary Sciences","52","3","","71","77","6","1","10.4067/S0719-81322020000300071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095763020&doi=10.4067%2fS0719-81322020000300071&partnerID=40&md5=ce5ceaaf5c5b0ba9fb699be32e9fc8e4","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85095763020"
"Jahromi R.B.; Arfaeinia H.; Hosseini S.S.; Torabi F.; Sangari M.; Khosravi A.","Jahromi, Reza Basirian (57188675669); Arfaeinia, Hossein (57039118000); Hosseini, Shohreh Seyyed (57194560527); Torabi, Fatemeh (57225198310); Sangari, Mahmood (55975320300); Khosravi, Abdolrasoul (56234595100)","57188675669; 57039118000; 57194560527; 57225198310; 55975320300; 56234595100","The Articles Published in Web of Science by Middle Eastern Researchers in Waterpipe/Cigarette Smoking: An Altmetrics Study","2022","International Journal of Information Science and Management","20","4","","103","116","13","1","10.22034/ijism.2022.698420","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145860842&doi=10.22034%2fijism.2022.698420&partnerID=40&md5=12f5d8818091900c0bda8b2eefa2c24e","Article","Final","","Scopus","2-s2.0-85145860842"
"Nuredini K.","Nuredini, Kaltrina (57215349552)","57215349552","Altmetrics for digital libraries: Concepts, applications, evaluation and recommendations","2021","Altmetrics for Digital Libraries: Concepts, Applications, Evaluation and Recommendations","","","","1","292","291","0","10.30819/5309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158053497&doi=10.30819%2f5309&partnerID=40&md5=5ab23e3f852e664f9e169fdc183a1b7e","Book","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85158053497"
"Ali M.J.","Ali, Mohammad Javed (36058307500)","36058307500","Understanding the Altmetrics","2021","Seminars in Ophthalmology","36","5-6","","351","353","2","14","10.1080/08820538.2021.1930806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106254975&doi=10.1080%2f08820538.2021.1930806&partnerID=40&md5=7892d4bb582c7f48780c8de435bb7a36","Editorial","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85106254975"
"Demachki É.; Maricato J.D.M.","Demachki, Érika (57728444100); Maricato, João de Melo (36645969300)","57728444100; 36645969300","Coverage of Data Sources and Correlations Between Altmetrics and Citation Indicators: The Case of a Brazilian Portal of Open Access Journals","2022","Serials Review","48","1-2","","151","166","15","5","10.1080/00987913.2022.2066967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131375957&doi=10.1080%2f00987913.2022.2066967&partnerID=40&md5=3ac30a7dbc958fde3461918765ac577d","Article","Final","","Scopus","2-s2.0-85131375957"
"Clayson P.E.; Baldwin S.A.; Larson M.J.","Clayson, Peter E. (36996538700); Baldwin, Scott A. (7102790602); Larson, Michael J. (7203022268)","36996538700; 7102790602; 7203022268","The open access advantage for studies of human electrophysiology: Impact on citations and Altmetrics","2021","International Journal of Psychophysiology","164","","","103","111","8","30","10.1016/j.ijpsycho.2021.03.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103105436&doi=10.1016%2fj.ijpsycho.2021.03.006&partnerID=40&md5=8eee31f5982a1a77def36833fd764ef5","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85103105436"
"","","","Research on the Construction of Altmetrics Analysis Method System; [Altmetrics分析方法体系构建研究]","2021","Information studies: Theory and Application","44","3","","45","52","7","1","10.16353/j.cnki.1000-7490.2021.03.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204423578&doi=10.16353%2fj.cnki.1000-7490.2021.03.007&partnerID=40&md5=0906f223ca2f8982b51a4525033de31b","Article","Final","","Scopus","2-s2.0-85204423578"
"","","","Research on the Relationship between Discourse Leading Indicators and Citation Counts Based on Altmetrics: A Case Study of Chinese Academic Journals in English; [融合Altmetrics 的话语引导力指标与被引频次关系研究-以中国英文学术期刊为例]","2021","Information studies: Theory and Application","44","7","","37","43and36","4299","0","10.16353/j.cnki.1000-7490.2021.07.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204797703&doi=10.16353%2fj.cnki.1000-7490.2021.07.006&partnerID=40&md5=55015fcd7e6b4842146abd6153795e95","Article","Final","","Scopus","2-s2.0-85204797703"
"Shakeel Y.; Alchokr R.; Kruger J.; Saake G.; Leich T.","Shakeel, Yusra (57200395570); Alchokr, Rand (57443670800); Kruger, Jacob (57191578129); Saake, Gunter (7004621677); Leich, Thomas (13005454000)","57200395570; 57443670800; 57191578129; 7004621677; 13005454000","Are Altmetrics Proxies or Complements to Citations for Assessing Impact in Computer Science?","2021","Proceedings of the ACM/IEEE Joint Conference on Digital Libraries","2021-September","","","284","286","2","6","10.1109/JCDL52503.2021.00037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124204503&doi=10.1109%2fJCDL52503.2021.00037&partnerID=40&md5=7dae42181c4572be4f236861cac20ed4","Conference paper","Final","","Scopus","2-s2.0-85124204503"
"Fraser N.; Momeni F.; Mayr P.; Peters I.","Fraser, Nicholas (57215354997); Momeni, Fakhri (57190965769); Mayr, Philipp (24166737700); Peters, Isabella (23985912300)","57215354997; 57190965769; 24166737700; 23985912300","The relationship between biorxiv preprints, citations and altmetrics","2020","Quantitative Science Studies","1","2","","618","638","20","77","10.1162/qss_a_00043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087880332&doi=10.1162%2fqss_a_00043&partnerID=40&md5=a3bb3b38a5fea8a9f6fb311763ae2c90","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85087880332"
"Ying G.; Xiantao X.","Ying, Guo (57226772707); Xiantao, Xiao (57226764072)","57226772707; 57226764072","Altmetrics system for the evaluation of Chinese scholars","2021","18th International Conference on Scientometrics and Informetrics, ISSI 2021","","","","1477","1478","1","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112615467&partnerID=40&md5=b481cf9094393b9fd2ba2b4b345b5171","Conference paper","Final","","Scopus","2-s2.0-85112615467"
"De Oliveira T.M.; Barata G.; Uribe-Tirado A.","De Oliveira, Thaiane Moreira (56241746300); Barata, Germana (57214188590); Uribe-Tirado, Alejandro (57218849476)","56241746300; 57214188590; 57218849476","Ten years of Altmetrics: A review of Latin America contributions","2021","Journal of Scientometric Research","10","1","","S102","S114","12","2","10.5530/JSCIRES.10.1S.26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108428998&doi=10.5530%2fJSCIRES.10.1S.26&partnerID=40&md5=8ccc42b8b4983a8ebfe903392c3bf67b","Review","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85108428998"
"Zhou X.; Guo Y.; Li F.; Wang J.; Wei H.; Yu M.; Chen S.","Zhou, Xiao (55794171000); Guo, Ying (57085448800); Li, Fangshun (57223250889); Wang, Jin (57218999030); Wei, Huanan (57218996505); Yu, Miaomiao (57216461125); Chen, Siliang (57218997763)","55794171000; 57085448800; 57223250889; 57218999030; 57218996505; 57216461125; 57218997763","Identifying and assessing innovation pathways for emerging technologies: A hybrid approach based on text mining and altmetrics","2021","IEEE Transactions on Engineering Management","68","5","09123923","1360","1371","11","10","10.1109/TEM.2020.2994049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090944049&doi=10.1109%2fTEM.2020.2994049&partnerID=40&md5=cd033424c459d6f6df84dd5c0f31d4b3","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85090944049"
"Nishioka C.; Farber M.","Nishioka, Chifumi (54953704400); Farber, Michael (55890962100)","54953704400; 55890962100","Trends of publications' citations and altmetrics based on open access types","2020","Proceedings of the ACM/IEEE Joint Conference on Digital Libraries","","","3398584","503","504","1","2","10.1145/3383583.3398584","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095120675&doi=10.1145%2f3383583.3398584&partnerID=40&md5=c02a70ee7723ef01c44683e966edd49d","Conference paper","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85095120675"
"Yoshimura R.; Grant M.C.; Gardiner M.D.; Wade R.G.","Yoshimura, Ryo (57208558911); Grant, Michael C. (57217293622); Gardiner, Matthew D. (57203176553); Wade, Ryckie G. (56214334900)","57208558911; 57217293622; 57203176553; 56214334900","Disseminating Hand Surgery Research Using Social Media: The Relationship Between Altmetrics and Citations","2021","Journal of Hand Surgery","46","9","","740","747","7","7","10.1016/j.jhsa.2021.03.028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107853485&doi=10.1016%2fj.jhsa.2021.03.028&partnerID=40&md5=888a5ad2de35885b3d6200b48a493b5f","Article","Final","","Scopus","2-s2.0-85107853485"
"Kunze K.N.; Vadhera A.; Purbey R.; Singh H.; Kazarian G.S.; Chahla J.","Kunze, Kyle N. (57202689199); Vadhera, Amar (57215818478); Purbey, Ritika (57842478300); Singh, Harsh (57223135290); Kazarian, Gregory S. (56966537500); Chahla, Jorge (56653427200)","57202689199; 57215818478; 57842478300; 57223135290; 56966537500; 56653427200","Infographics Are More Effective at Increasing Social Media Attention in Comparison With Original Research Articles: An Altmetrics-Based Analysis","2021","Arthroscopy - Journal of Arthroscopic and Related Surgery","37","8","","2591","2597","6","35","10.1016/j.arthro.2021.03.056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105604957&doi=10.1016%2fj.arthro.2021.03.056&partnerID=40&md5=4b56c1042a550ad15ebf0a710d9adc9e","Article","Final","","Scopus","2-s2.0-85105604957"
"Leckert M.","Leckert, Max (57296685400)","57296685400","(E-) Valuative Metrics as a Contested Field: A Comparative Analysis of the Altmetrics- and the Leiden Manifesto","2021","Scientometrics","126","12","","9869","9903","34","5","10.1007/s11192-021-04039-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117155749&doi=10.1007%2fs11192-021-04039-1&partnerID=40&md5=9cd9d48fb3e0fb7b70ff6d1b53791837","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85117155749"
"Yu B.; Zhao R.","Yu, Bo (58176105300); Zhao, Rongying (25928875100)","58176105300; 25928875100","Analysis of Evolution Characteristics and Influencing Factors of Altmetrics Top100 Papers; [Altmetrics Top100 论文的演进特征及影响因素分析]","2020","Journal of Modern Information","40","7","","134","143and151","143017","1","10.3969/j.issn.1008-0821.2020.07.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133265400&doi=10.3969%2fj.issn.1008-0821.2020.07.014&partnerID=40&md5=8d9bd2e44b47e84698f83b8cfc227fe4","Article","Final","","Scopus","2-s2.0-85133265400"
"Nuredini K.; Lemke S.; Peters I.","Nuredini, Kaltrina (57215349552); Lemke, Steffen (57202709687); Peters, Isabella (23985912300)","57215349552; 57202709687; 23985912300","Social media and altmetrics","2020","Handbook Bibliometrics","","","","201","214","13","2","10.1515/9783110646610-021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109668639&doi=10.1515%2f9783110646610-021&partnerID=40&md5=c1e6f5c025673bf01dbbbe1297eeceab","Book chapter","Final","","Scopus","2-s2.0-85109668639"
"Asaad M.; Howell S.M.; Rajesh A.; Meaike J.; Tran N.V.","Asaad, Malke (57209296864); Howell, Skyler M. (57210415701); Rajesh, Aashish (57193435213); Meaike, Jesse (56913348800); Tran, Nho V (7102198262)","57209296864; 57210415701; 57193435213; 56913348800; 7102198262","Altmetrics in plastic surgery journals: Does it correlate with citation count?","2020","Aesthetic Surgery Journal","40","11","","NP628","NP635","7","23","10.1093/asj/sjaa158","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093073216&doi=10.1093%2fasj%2fsjaa158&partnerID=40&md5=bd9c0940dde49089833fc60aeef65f0f","Article","Final","","Scopus","2-s2.0-85093073216"
"Saud S.; Trabococ L.; Gupta L.","Saud, Sarah (57386435400); Trabococ, Lisa (57386435500); Gupta, Latika (57202665604)","57386435400; 57386435500; 57202665604","Harnessing the True Power of Altmetrics to Track Engagement","2021","Journal of Korean Medical Science","36","48","e330","","","","10","10.3346/jkms.2021.36.e330","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121811374&doi=10.3346%2fjkms.2021.36.e330&partnerID=40&md5=448e9c00eafc6c7c64543d336e99dbb7","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85121811374"
"","","","Review of Academic Paper Evaluation Based on Altmetrics; [基于 Altmetrics 的学术论文评价研究评述]","2021","Information studies: Theory and Application","44","9","","190","197","7","0","10.16353/j.cnki.1000-7490.2021.09.027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204914703&doi=10.16353%2fj.cnki.1000-7490.2021.09.027&partnerID=40&md5=79592c5225409abd129e6eb8d61f42df","Review","Final","","Scopus","2-s2.0-85204914703"
"Cho J.","Cho, Jane (15833851000)","15833851000","Altmetrics analysis of highly cited academic papers in the field of library and information science","2021","Scientometrics","126","9","","7623","7635","12","18","10.1007/s11192-021-04084-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109168152&doi=10.1007%2fs11192-021-04084-w&partnerID=40&md5=beb67107fc6b21f8ce84d3b411c376e3","Article","Final","","Scopus","2-s2.0-85109168152"
"Bauler L.D.; Santos C.S.D.; Lima G.S.; Moraes R.R.","Bauler, Laura D. (57310290300); Santos, Cinthia S Dos (57221948885); Lima, Giana S. (19933830000); Moraes, Rafael R. (12759789800)","57310290300; 57221948885; 19933830000; 12759789800","Charcoal-based dentifrices and powders: analyses of product labels, Instagram engagement, and altmetrics","2021","Brazilian dental journal","32","2","","80","89","9","12","10.1590/0103-6440202104233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117839099&doi=10.1590%2f0103-6440202104233&partnerID=40&md5=091242a6e36ac8df5d09004e6e375229","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85117839099"
"Giustini A.J.; Axelrod D.M.; Lucas B.P.; Schroeder A.R.","Giustini, Andrew J. (36087194300); Axelrod, David M. (36237866000); Lucas, Brian P. (7101672912); Schroeder, Alan R. (7102464108)","36087194300; 36237866000; 7101672912; 7102464108","Association between Citations, Altmetrics, and Article Views in Pediatric Research","2020","JAMA Network Open","3","7","","","","","24","10.1001/jamanetworkopen.2020.10784","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088352192&doi=10.1001%2fjamanetworkopen.2020.10784&partnerID=40&md5=a4334d4934e004d310522f50f3a7b1f1","Letter","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85088352192"
"Sinha P.K.; Sahoo S.B.; Gajbe S.B.; Chakrabory K.; Mahato S.S.","Sinha, Prashant Kumar (57203097603); Sahoo, Subhranshu Bhushan (57221775079); Gajbe, Sagar Bhimrao (57221079066); Chakrabory, Kanu (57223221264); Mahato, Shiva Shankar (57221784549)","57203097603; 57221775079; 57221079066; 57223221264; 57221784549","Altmetrics research progress: A bibliometric analysis and visualization","2020","Journal of Scientometric Research","9","3","","300","309","9","4","10.5530/JSCIRES.9.3.37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100183444&doi=10.5530%2fJSCIRES.9.3.37&partnerID=40&md5=f8a7b25f8f507e2d1cb2d716e0b3011f","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85100183444"
"Seyyed Hosseini S.; Basirian Jahromi R.","Seyyed Hosseini, Shohreh (57194560527); Basirian Jahromi, Reza (57188675669)","57194560527; 57188675669","Iranian Articles in Medical Ethics: An Altmetrics Approach on Social Media Vs. a Bibliometric Study in Scopus Database","2021","International Journal of Information Science and Management","19","1","","15","26","11","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108667922&partnerID=40&md5=9d759c4adcbe162ca9f3e65f3e5eabfd","Article","Final","","Scopus","2-s2.0-85108667922"
